nicholas frightened 
concerned nicholas 
murdered karl 
sarcastic year-old 
vegas-playboy ( 
shark-like brother 
man ex-desert 
year-old skeddadled 
relentless avenger 
12-year-old god 
francophiles slap 
beary ten-year-old 
debt-collector boss 
harridan anjelica 
sniper-kamikadze free 
derailed young 
nicholas sister 
johann antichrist 
strained chelsea 
"moldy-oldie , "
"seventeen-year-old , "
fortune-teller convalesce 
friend 'hungry-man 
shirley fallen 
fourteen-year-old midge 
cadence fifteen-year-old 
yorkins becomes 
resurrects tiger 
anti-christ 11-year-old 
warhol/morrissey goldfinger 
depression-era angel 
fifteen-year-old suicidal 
hunted marie 
father-in-law realizes 
serviceman behind 
dacascos leader 
neighbourhood shivdasani 
baptist outcast 
kervorkian become 
man vijayendra 
vera self-hatred 
imprisoned leland 
alan kristian 
jill raccoon 
mafiosi scottish/italian 
henriksen disappeared 
sheriff mike 
william shangri-la 
gulab shivdasani 
isolation liyan 
maslakh afghans 
assassin venal 
gustavo & 
believing doreen 
sheltered 25-year-old 
neighborhoods brooklyn 
villainous caribbean 
killed indian 
nicholas 's 
sister rickman 
lifts gangster 
14-year-old wise 
depicts europeans 
mackenheim ruler 
santa elf 
armenian canadians 
yorkins yorkin 
"thirteen-year-old , "
marcus 12-year-old 
geuvara leader 
charlie wakes 
vegas shangri-la 
disappears kingsley 
paul ex-high 
rescues falcon 
brother-in-law way 
ten-year-old find 
remembered roman 
hotter-two-years-ago rap 
found patsy 
tortured rupi 
rival nagarjuna 
trouble baron 
shelter runaway 
charlie streep 
frances tuscan 
meets marusya 
man elysian 
"majidi , "
affair katrin 
interwoven gangster 
wonder grace-in-rebellion 
", ratliff "
seeking simone 
arrives sally 
regain paula 
francis takes 
rabbits brimful 
menace amidala 
admirer marlowe 
jolted gourd 
", hoffman "
duncan jenkins 
"argentinean , "
kidnapped demon 
francis son 
harold chep 
comrade thomas 
aravasu paravasu 
jolt moribund 
disturbed businessman 
steve arielle 
must half-sister 
sheridan lent 
resonant young 
suffers british 
katharine mediate 
unleashed earth 
jarecki bastard 
rescues tasha 
hope escape 
louisiana ya-ya 
sheriff 's 
journeys charlie 
"indian-american , "
stevens john 
kassie charlie 
kim deaf-mute 
johnny estranged 
only-way-out franklin 
depression-era sullivan 
johnathan alexi 
chases former 
beaten johnny 
"hailed , "
renege becomes 
rebel estranged 
archibald son 
mars beheadings 
kyle towards 
"kimberly , "
fratricidal cash 
mukherjee paro 
hunt marusya 
", hickley "
anglo-saxon irish 
reverie jolynn 
anyone brendan 
stuart falcon 
"worried , "
manipulations jason 
kidman nathan 
sisters chased 
infiltrates yucatan 
twelve-year-old engineer 
commands ravages 
harnessed falk 
o'bannon wilson 
mccormack paranoid 
trudy lives 
heroine avenges 
murderer dragon 
gang gang-boss 
patricia adventurously 
new carmichael 
saved tom 
documentary ex-refugee 
kidnapping former 
"misterious , "
investigating priestley 
francis unemployed 
silence lambs 
bully becomes 
haris afghan-american 
helmut young 
franзois 's 
spaces hermitage 
ex-legionnaire sarajevo 
ex-refugee son 
fratricidal girlfriend 
federal mobster 
count alexander 
"isabelle , "
ten-year-old ( 
victim scorns 
sara abducted 
investigator korenev 
mckellar named 
russian-jewish & 
slept 's 
lonely mary 
olivia williams 
valdemar allow 
boy gang-controlled 
brightness kahlo 
jordan child 
day anjelica 
follows bobby 
saiid isa 
irish-american raised 
matthew predicament 
slovenly brother 
demented malkovich 
palminteri hustler 
"rancid , "
finds dennis 
along philipe 
holland returns 
clayton root 
jedi named 
ex-cia byrnes 
meanwhile lives 
convinced peter 
", pilobolus "
residents captures 
"francis , "
majidi around 
naipaul 's 
germans interrogated 
riders rohan 
realities irish 
jason discovers 
achieves 's 
", kimberly "
survivors jason 
walter escape 
", mary "
jenny become 
stepsister jhangiani 
1947 thirteen-year-old 
zamindar ) 
angry ex- 
flooded lived 
rajput amitabh 
swordsman juan 
encanta 'atlantis 
blackmail man 
billy becomes 
eleanor tele-evangelist 
maenwhile amelia 
years charlotte 
cinderellas life 
saved merton 
jolynn persued 
michael collapses 
jason pursuit 
peddled jakob 
california elusive 
columbus discovers 
freed largest 
daniel day-lewis 
inhabits quiet 
harsh palestinian 
willy captive 
cousin roberto 
charming nomadic 
nephew roger 
disillusioned american 
anmol forces 
terrorists macht 
angry michael 
mitchell threatens 
", brooklyn "
isidor dime 
havana & 
rajani protector 
alex andy 
"delhomme , "
disappears munich 
powerful jamaican 
francis apparently 
man mondavarious 
guardian reactivates 
polished puts 
retro-refitting kiddie 
